Question Numbers,Variable,English,Turkish,Korean,MEMO by Sungeun,Comments by Banu
,sibling_g,Did they think that it is mainly your responsibility to solve your own problem?,Bu sıkıntı yaratan olayı çözmenin genel olarak sizin sorumluluğunuz olduğunu düşündüler mü?,형제/자매들은 그 문제에 대한 주된 책임이 당신에게 있다고 생각했습니까?,,
,cousins_a,Have you spoken to your cousins about this problem?,Kuzenlerinizle bu sıkıntı hakkında konuştunuz mu?,사촌들에게 문제에 대해 이야기해 보았습니까?,,
,"LET'S PUT HERE A RESPONSE CHOICE INDICATING A NOT APPLICABLE/AVAILABLE response option as the following: a) YES, b) NO, c) NOT APPLICABLE... and if not applicable, the next question should appear, meaning the question about the uncles/etc.",,,,,
,cousins_b,Did they listen to you about your problem?,Sizi bu sıkıntı yaratan olay ile ilgili dinlediler mi?,사촌들은 당신의 문제를 귀기울여 들어주었습니까?,,
,cousins_c,Did they perceive your problem/stress as if it is his own (even if they may not have anything to do with the problem itself)?,"Bu olayı kendi sıkıntıları, kendi problemleri gibi gördüler mi? (problemin onlarla ilişkisi olsa da olmasa da)",사촌들은 당신의 문제/스트레스를 마치 본인의 문제인 것처럼 생각했습니까? (비록 그 문제 자체를 위해 어떤 일을 하지 않았을지라도),,
,cousins_d,Did they try to solve your problem/stress for you (resorting mainly to their own resources and/or mobilizing your resources themselves)?,Bu olayı kendileri çözmeye çalıştılar mı? (Çoğunlukla kendi kaynaklarını kullanarak veya sizin kaynaklarınızı harekete geçirerek),사촌들은 당신의 문제/스트레스를 해결하기 위해 노력했습니까? (자신이 갖고 있는 자원들을 제공하려고 하거나 당신의 자원을 활용하도록 도움을 줌),,
,cousins_e,Did they share the responsibility of resolving this problem with you?,Bu olayı çözmenin sorumluluğunu sizinle paylaştılar mı?,사촌들은 당신의 문제를 해결하기 위한 책임을 공유했습니까?,,
,cousins_f,Did they care about your problem?,Bu sıkıntı yaratan olayı önemsediler mi?,사촌들은 당신의 문제에 관심을 보였습니까?,,
,cousins_g,Did they think that it is mainly your responsibility to solve your own problem?,Bu sıkıntı yaratan olayı çözmenin genel olarak sizin sorumluluğunuz olduğunu düşündüler mü?,사촌들은 그 문제에 대한 주된 책임이 당신에게 있다고 생각했습니까?,,
,uncle_a,Have you spoken to your Aunts/Uncles about this problem?,Amcalarınız/dayılarınız/halalarınız/teyzeleriniz ile bu sıkıntı hakkında konuştunuz mu?,이모/고모/삼촌에게 문제에 대해 이야기해 보았습니까?,,
,"LET'S PUT HERE A RESPONSE CHOICE INDICATING A NOT APPLICABLE/AVAILABLE response option as the following: a) YES, b) NO, c) NOT APPLICABLE... and if not applicable, the next question should appear, meaning the question about the spouse.",,,,,
,uncle_b,Did they listen to you about your problem?,Sizi bu sıkıntı yaratan olay ile ilgili dinlediler mi?,이모/고모/삼촌들은 당신의 문제를 귀기울여 들어주었습니까?,,
,uncle_c,Did they perceive your problem/stress as if it is his own (even if they may not have anything to do with the problem itself)?,"Bu olayı kendi sıkıntıları, kendi problemleri gibi gördüler mi? (problemin onlarla ilişkisi olsa da olmasa da)",이모/고모/삼촌들은 당신의 문제/스트레스를 마치 본인의 문제인 것처럼 생각했습니까? (비록 그 문제 자체를 위해 어떤 일을 하지 않았을지라도),,
,uncle_d,Did they try to solve your problem/stress for you (resorting mainly to their own resources and/or mobilizing your resources themselves)?,Bu olayı kendileri çözmeye çalıştılar mı? (Çoğunlukla kendi kaynaklarını kullanarak veya sizin kaynaklarınızı harekete geçirerek),이모/고모/삼촌들은 당신의 문제/스트레스를 해결하기 위해 노력했습니까? (자신이 갖고 있는 자원들을 제공하려고 하거나 당신의 자원을 활용하도록 도움을 줌),,
,uncle_e,Did they share the responsibility of resolving this problem with you?,Bu olayı çözmenin sorumluluğunu sizinle paylaştılar mı?,이모/고모/삼촌들은 당신의 문제를 해결하기 위한 책임을 공유했습니까?,,
,uncle_f,Did they care about your problem?,Bu sıkıntı yaratan olayı önemsediler mi?,이모/고모/삼촌들은 당신의 문제에 관심을 보였습니까?,,
,uncle_g,Did they think that it is mainly your responsibility to solve your own problem?,Bu sıkıntı yaratan olayı çözmenin genel olarak sizin sorumluluğunuz olduğunu düşündüler mü?,이모/고모/삼촌들은 그 문제에 대한 주된 책임이 당신에게 있다고 생각했습니까?,,
,spouse_a,Have you spoken to your Spouse/Partner about this problem?,Eşinizle bu sıkıntı hakkında konuştunuz mu?,배우자/애인에게 문제에 대해 이야기해 보았습니까?,,
"LET'S PUT HERE A RESPONSE CHOICE INDICATING A NOT APPLICABLE/AVAILABLE response option as the following: a) YES, b) NO, c) NOT APPLICABLE... and if not applicable, the next question should appear, meaning the question about the friends.",,,,,,
,spouse_b,Did they listen to you about your problem?,Sizi bu sıkıntı yaratan olay ile ilgili dinledi mi?,배우자/애인은 당신의 문제를 귀기울여 들어주었습니까?,,
,spouse_c,Did they perceive your problem/stress as if it is his own (even if they may not have anything to do with the problem itself)?,"Bu olayı kendi sıkıntısı, kendi problemi gibi gördü mü? (problemin onunla ilişkisi olsa da olmasa da)",배우자/애인은 당신의 문제/스트레스를 마치 본인의 문제인 것처럼 생각했습니까? (비록 그 문제 자체를 위해 어떤 일을 하지 않았을지라도),,
,spouse_d,Did they try to solve your problem/stress for you (resorting mainly to their own resources and/or mobilizing your resources themselves)?,Bu olayı kendisi çözmeye çalıştı mı? (Çoğunlukla kendi kaynaklarını kullanarak veya sizin kaynaklarınızı harekete geçirerek),배우자/애인은 당신의 문제/스트레스를 해결하기 위해 노력했습니까? (자신이 갖고 있는 자원들을 제공하려고 하거나 당신의 자원을 활용하도록 도움을 줌),,
,spouse_e,Did they share the responsibility of resolving this problem with you?,Bu olayı çözmenin sorumluluğunu sizinle paylaştı mı?,배우자/애인은 당신의 문제를 해결하기 위한 책임을 공유했습니까?,,
,spouse_f,Did they care about your problem?,Bu sıkıntı yaratan olayı önemsedi mi?,배우자/애인은 당신의 문제에 관심을 보였습니까?,,
,spouse_g,Did they think that it is mainly your responsibility to solve your own problem?,Bu sıkıntı yaratan olayı çözmenin genel olarak sizin sorumluluğunuz olduğunu düşündü mü?,배우자/애인은 그 문제에 대한 주된 책임이 당신에게 있다고 생각했습니까?,,
,friends_a,Have you spoken to your Friends about this problem?,Arkadaşlarınızla bu sıkıntı hakkında konuştunuz mu?,친구들에게 문제에 대해 이야기해 보았습니까?,,
,"LET'S PUT HERE A RESPONSE CHOICE INDICATING A NOT APPLICABLE/AVAILABLE response option as the following: a) YES, b) NO, c) NOT APPLICABLE... and if not applicable, the next question should appear, meaning the question about 'other'.",,,,,
,friends_b,Did they listen to you about your problem?,Sizi bu sıkıntı yaratan olay ile ilgili dinlediler mi?,친구들은 당신의 문제를 귀기울여 들어주었습니까?,,
,friends_c,Did they perceive your problem/stress as if it is his own (even if they may not have anything to do with the problem itself)?,"Bu olayı kendi sıkıntıları, kendi problemleri gibi gördüler mi? (problemin onlarla ilişkisi olsa da olmasa da)",친구들은 당신의 문제/스트레스를 마치 본인의 문제인 것처럼 생각했습니까? (비록 그 문제 자체를 위해 어떤 일을 하지 않았을지라도),,
,friends_d,Did they try to solve your problem/stress for you (resorting mainly to their own resources and/or mobilizing your resources themselves)?,Bu olayı kendileri çözmeye çalıştılar mı? (Çoğunlukla kendi kaynaklarını kullanarak veya sizin kaynaklarınızı harekete geçirerek),친구들은 당신의 문제/스트레스를 해결하기 위해 노력했습니까? (자신이 갖고 있는 자원들을 제공하려고 하거나 당신의 자원을 활용하도록 도움을 줌),,
,friends_e,Did they share the responsibility of resolving this problem with you?,Bu olayı çözmenin sorumluluğunu sizinle paylaştılar mı?,친구들은 당신의 문제를 해결하기 위한 책임을 공유했습니까?,,
,friends_f,Did they care about your problem?,Bu sıkıntı yaratan olayı önemsediler mi?,친구들은 당신의 문제에 관심을 보였습니까?,,
,friends_g,Did they think that it is mainly your responsibility to solve your own problem?,Bu sıkıntı yaratan olayı çözmenin genel olarak sizin sorumluluğunuz olduğunu düşündüler mü?,친구들은 그 문제에 대한 주된 책임이 당신에게 있다고 생각했습니까?,,
,other_a,Have you spoken to others about this problem?,Başkalarıyla bu sıkıntı hakkında konuştunuz mu?,(위에서 언급한 사람들을 제외한)다른 사람들 중 당신의 문제를 상의한 사람이 있습니까?,,
,other_who,Please specify whom,"Evet ise, kiminle",그 사람(들)이 누구인지 구체적으로 답해주세요,,
,other_b,Did they listen to you about your problem?,Sizi bu sıkıntı yaratan olay ile ilgili dinlediler mi?,그들이 당신의 문제를 귀기울여 들어주었습니까?,,
,other_c,Did they perceive your problem/stress as if it is his own (even if they may not have anything to do with the problem itself)?,"Bu olayı kendi sıkıntıları, kendi problemleri gibi gördüler mi? (problemin onlarla ilişkisi olsa da olmasa da)",그들은 당신의 문제/스트레스를 마치 본인의 문제인 것처럼 생각했습니까? (비록 그 문제 자체를 위해 어떤 일을 하지 않았을지라도),,
,other_d,Did they try to solve your problem/stress for you (resorting mainly to their own resources and/or mobilizing your resources themselves)?,Bu olayı kendileri çözmeye çalıştılar mı? (Çoğunlukla kendi kaynaklarını kullanarak veya sizin kaynaklarınızı harekete geçirerek),그들은 당신의 문제/스트레스를 해결하기 위해 노력했습니까? (자신이 갖고 있는 자원들을 제공하려고 하거나 당신의 자원을 활용하도록 도움을 줌),,
,other_e,Did they share the responsibility of resolving this problem with you?,Bu olayı çözmenin sorumluluğunu sizinle paylaştılar mı?,그들은 당신의 문제를 해결하기 위한 책임을 공유했습니까?,,
,other_f,Did they care about your problem?,Bu sıkıntı yaratan olayı önemsediler mi?,그들은 당신의 문제에 관심을 보였습니까?,,
,other_g,Did they think that it is mainly your responsibility to solve your own problem?,Bu sıkıntı yaratan olayı çözmenin genel olarak sizin sorumluluğunuz olduğunu düşündüler mü?,그들은 그 문제에 대한 주된 책임이 당신에게 있다고 생각했습니까?,,
,cope_problems,"How differently did you cope with this problem in terms of what you have done and with whom you have consulted with, compared to have you GENERALLY cope with problems?",Bu sıkıntılı durumla başederken yaptıklarınız ve danıştığınız insanlar ve yaptıkları GENELDE bu tür konularla başa çıkarken kullandığınız yöntemlerden ne kadar farklıydı?,이 문제를 대처하기 위해 당신이 한 일들이나 상의했던 사람들을 생각해볼 때 일반적으로 평소 당신이 문제를 해결하기 위해 했던 방식들과 얼마나 달랐었는지를 생각해본 후 다음에 답하시오.,,
,different1,Very Different (normally i never cope up with this stress in this manner),Çok farklıydı (normalde stresle hiç böyle baş etmem),매우 달랐다 (보통 스트레스를 이런 식으로 대처해 본 적이 없음),,
,different2,Somewhat different,Biraz farklıydı,다소 달랐다,,
,different3,Neither different nor the same,Ne farklıydı ne değildi,다르지도 같지도 않음,,
,different4,Not different,Farklı değildi,다르지 않았다,,
,different1,Not at all different (I normally cope with stress in this manner),Hiç farklı değildi (normalde stresle hep böyle baş ederim),전혀 다르지 않았다 (보통 스트레스를 이런 방식으로 대처함),,
15a,family,"Who do you call 'family' in your life? Even if you do not have anyone you call 'family' at the moment, you might have had someone or a few family members in the past. Please check all that applies, and please respond the following questions accordingly.","Sizin için aileniz kimlerden oluşuyor? Eğer şuanda aileniz yoksa, hayatınızın bir noktasında aileniz oldu mu? Kimlerdi? Birden fazla işaretleyebilirsiniz.",당신의 삶에서 '가족'이라고 할 수 있는 사람들은 누구인가요? 설령 현재 가족이라고 부를 수 있는 사람이 없다고 하더라도 과거에 누군가 가족이라고 생각했던 사람이 있다면 표시해 주세요. 다음의 보기에서 당신의 삶에서 '가족'이라고 할 수 있는 사람들은 모두 체크해 주십시오.,,
, family1,Mother and/or father,Anne ve/veya baba,부모님(어머니/아버지),,
, family2,Wife or husband,Karı ya da koca,배우자(남편/아내),,
, family3,In-law's family,Eşinin ailesi,시댁식구/처가식구,,
, family4,Siblings,Kardeşler,형제/자매,,
, family5,Children,Çocuklar,자녀,,
, family6,"Other family members like cousins, aunts, uncles etc. ","Diğer aile fertleri (kuzenler, teyzeler, halalar, dayılar, amcalar vd.)","다른 가족구성원들 (사촌, 이모, 고모, 삼촌 등)",,
,self_construal,"Please indicate to what degree you agree or disagree with the following statements, considering your own relationship with your family. You can rate these statement on a scale from 'I strongly Disagree' to 'I strongly Agree'.","Lütfen, az önce belirtmiş olduğunuz fertlerden oluşan ailenizle olan ilişkinizi düşünerek aşağdaki sorulara cevap veriniz. 1 hiç katılmıyorum, 3 ne katılıyorum ne katılmıyorum ve 5 tamamen katılıyorum anlamına gelecek şekilde 1 ile 5  arasında bir puan verebilirsiniz.",다음의 기술들은 당신이 동의할 수도 동의하지 않을수도 있는 것들입니다. 당신 가족들과의 관계를 생각하면서 다음 문항에 얼마나 동의하는 지를 답해 주십시오.,,
,self_construal_item1,I feel independent of my family,Kendimi ailemden bağımsız hissederim,나는 가족들과 독립적인 편이다,,
,self_construal_item2,I usually try to agree with the wishes of my family,Genellikle ailemin isteklerine uymaya çalışırım,나는 보통 가족들이 바라는 것들에 동의(부합)하려고 노력한다,,
,self_construal_item3,I do not have to think the way my family does,Ailemin düşündüğü gibi düşünmek zorunda değilim,가족들이 생각하고 행동하는 방식과 동일하게 내가 생각하고 행동할 필요는 없다고 생각한다,,
,self_construal_item4,I receive approval from my family for my future plans,Geleceğe yönelik planlarım için ailemden izin alırım,나는 나의 향후 계획에 대해 가족들의 동의/승인을 얻는다,,
,self_construal_item5,I avoid making decisions with which my family would not agree,Ailemin onaylamayacağı kararlar almaktan kaçınırım.,나는 가족들이 동의하지 않을 의사결정은 피하는 편이다,,
,self_construal_item6,"On personal issues, I accept the decisions of my family",Benimle ilgili bir konuda ailemin aldığı kararlar geçerlidir.,나는 개인적인 문제들의 경우에도 가족들의 의견을 수용한다,,
,self_construal_item7,I would not be close to someone to whom my family does not agree,Ailemin istemediği bir kişiyle yakın olmam.,나는 가족들이 싫어하거나 꺼려하는 사람과는 가까이 지내지 않으려 한다,,
,self_construal_item8,"Independent of my family, I cannot make decisions easily",Ailemden bağımsız olarak kendi kararlarımı veremem.,나는 가족들 의견을 듣지 않은 체 의사결정을 쉽게 할 수 없다,,
,self_construal_item9,I can easily change my decisions according to the wishes of my family,Kararlarımı ailemin isteklerine göre kolayca değiştiririm.,나는 가족들의 희망이나 바램에 따라 내 결정을 쉽게 바꿀 수 있다,,
,self_construal_item10,I prefer to keep a certain distance in my relationship with my family,Ailemle olan ilişkimde mesafeli olmak isterim.,나는 가족관계에서 일정한 거리를 두는 것을 선호한다,,
,self_construal_item11,"During hard times, I would like to know that my family will be with me",Zor zamanlarımda ailemin yanımda olacağını bilmek isterim.,내가 어려운 시기에 내 가족들이 내 옆에 함께 있어줄 사람들인지 알고싶다,,
,self_construal_item12,The time that I spend with my family is not important for me,Ailemle geçirdiğim zaman benim için çok önemli değildir.,가족들과 함께 보내는 시간은 내게 중요하지 않다,,
,self_construal_item13,Feeling very close to my family is a good thing,Aileme çok yakın hissetmem iyi bir şeydir.,가족과 가깝다는 느낌은 좋은 것이다,,
,self_construal_item14,My family is my top priority,Ailem hayatımda en ön sıradadır.,나에게는 다른 어떤 것 보다도 가족이 최우선이다,,
,self_construal_item15,I don’t enjoy spending much time with my family,Ailemle fazla vakit geçirmekten hoşlanmam.,나는 내 가족들과 많은 시간을 보내는 것을 즐기지는 않는다,,
,self_construal_item16,I feel myself closely attached to my family.,Kendimi aileme gönülden bağlı hissederim.,나는 가족들과 가까운 애착관계를 가지고 있다,,
,self_construal_item17,My relationship with my family makes me feel peaceful and secure,"Ailemle aramdaki bağ, kendimi güven ve huzur içinde hissetmemi sağlıyor.",가족들과의 관계는 나를 평화롭고 안전하게 느끼게 해 준다,,
,self_construal_item18,I am very close to my family,Ailemle iç içeyim.,나는 가족들과 매우 가깝다,,
16,ind col,Please tell me how much you agree with the sentences below. You can answer the question from 'strongly disagree' to  'strongly agree'.,"Aşağıdaki cümlelere genel olarak ne derece katılıp katılmadığınızı belirtiniz. 1 hiç katılmıyorum, 3 ne katılıyorum ne katılmıyorum ve 5 tamamen katılıyorum anlamına gelecek şekilde 1 ile 5  arasında bir puan verebilirsiniz
",다음의 문항들에 얼마나 동의하시는지를 평정해 주십시오.,,
,individualism_item1,Being a unique individual is important to me.,Özgün bir birey olmak benim için önemlidir,나만의 독특성을 갖는 것은 내게 중요한 일이다,,
,individualism_item2,My personal identity independent from others is very important to me.,Başkalarından bağımsız bireysel kimliğim benim için çok önemlidir,다른사람과 구분되는 나만의 개인적 정체성을 갖는 것은 내게 매우 중요하다,,
,individualism_item3,It is important to consult with close friends and get their ideas before making a decision,Bir karar vermeden önce yakın arkadaşlara danışıp onların fikirlerini almak önemlidir,의사결정을 하기 전에 친한 친구들과 상의하고 그들의 생각을 들어보는 것은 중요하다,,
,individualism_item4,I rather depend on myself than on others.,Başkalarına güvenmektense kendime güvenirim,나는 내 자신보다 다른사람에게 더 의지하는 편이다,,
,individualism_item5,"When I succeed, it is usually because of my abilities.","Başarılı olduğum zaman, genellikle yeteneklerim sayesindedir","내가 성공을 한다면, 그건 내가 가지고 있는 재능때문일 것이다",,
,individualism_item6,I feel good when I cooperate with others.,Başkalarıyla işbirliği yaptığım zaman kendimi iyi hissederim. ,다른사람들과 함께 협력하여 일을 할 때 나는 뿌듯함을 느낀다,,
,individualism_item7,I like my privacy.,Özel hayatımın dokunulmazlığı hoşuma gider,나는 프라이버시(남에게 간섭받지 않을 권리)를 갖는 것을 좋아한다,,
,individualism_item8,"To me, pleasure is spending time with others.","Benim için zevk, başkalarıyla vakit geçirmektir",나에게 있어 즐거움이란 사람들과 함께 시간을 보내는 것이다,,
,individualism_item9,I am a unique individual.,Ben özgün bir bireyim,나는 나만의 독특한 개성을 가지고 있다,,
,individualism_item10,If a co-worker gets a prize I would feel proud.,İş arkadaşlarımdan biri bir ödül kazansa gurur duyarım,나와 함께 일하는 동료가 상을 받는다면 나는 내 동료를 자랑스럽게 생각할 것이다,,
,individualism_item11,I often do ‘my own thing”.,Çoğu zaman kendi bildiğim gibi yaşarım,나는 종종 '나 자신만의 일'을 한다,,
,individualism_item12,"If a relative were in financial difficulty, I would help within my means.",Eğer bir akrabamın maddi sıkıntısı olsaydı imkânlarım dahilinde yardım ederdim,"만일 친지에게 금전적인 어려움이 생긴다면, 나는 내가 도울 수 있는 범위내에서 도울 것이다",,
,individualism_item13,I enjoy being unique and different from others in many ways.,Birçok yönden diğer insanlardan farklı ve özgün olmaktan zevk alırım,나는 다른사람들과 다른 나만의 개성과 독특성을 갖는 것을 즐긴다,,
,individualism_item14,The well-being of my co-workers of my co-workers is important to me.,İş arkadaşlarımın iyiliği benim için önemlidir.,나와 함께 일하는 동료들의 행복과 안녕감은 내게도 중요하다,,
,individualism_item15,I like sharing little things with my neighbors.,Komşularımla ufak tefek şeyler paylaşmayı severim,나는 작은 것이라도 이웃들과 함께 나누는 것을 좋아한다,,
,individualism_item16,What happens to me is my own doing.,Başıma gelenler benim yaptıklarımın sonucudur,나에게 일어나는 일들은 나 자신이 해결해야 하는 일이다,,
,individualism_item17,One should live one’s life independently of others.,İnsan hayatını diğerlerinden bağımsız olarak yaşamalıdır.,사람들은 타인과 독립적으로 자신의 삶을 살아야 한다,,
,individualism_item18,My happiness depends very much on the happiness of those around me.,Benim mutluluğum çevremdekilerin mutluluğuna çok bağlıdır.,나의 행복은 내 주변사람들의 행복에 달려있다(내 주변사람들이 행복해야 나도 행복하다),,
,individualism_item19,I prefer to be direct and forthright when I talk with people.,İnsanlarla konuşurken dobra ve açık sözlü olmayı tercih ederim,나는 직접적이고 명시적인 방식으로 타인과 의사소통하는 것을 선호한다,,
17,depression,Below is a list of the ways you might have felt or behaved. Please tell me how often you have felt this way during the past week.  (Show the cards),Lütfen geçen hafta boyunca asagidaki ifadeleri ne sıklıkla hissettiğinizi veya yaşadığınızı belirtin.,다음의 문항들은 당신이 경험할 수 있는 기분이나 행동에 관한 것입니다. 지난 한 주동안 얼마나 종종 다음을 경험했는지 답해주십시오,,
,how_often1,Rarely or none of the time (less than 1 day),Hiçbir Zaman - Nadiren (1 günden daha az),거의 경험하지 않았음 (1일 이내),,
,how_often2,Some or a little of the time (1-2 days),Birazcık - Birkaç Kez (1-2gün),약간 경험하였음 (1-2일 정도),,
,how_often3,Occasionally or a moderate amount of time (3-4 days),Arada Sırada - Bazen (3-4gün),보통 이상으로 경험하였음 (3-4일 정도),,
,how_often4,Most or all of the time (5-7 days),Çokça - Çoğu Zaman (5-7 gün),대부분의 시간 경험하였음 (5-7일),,
,depression_item1,I was bothered by things that usually don’t bother me.,Genellikle canımı sıkmayan şeyler canımı sıktı.,평소에는 아무렇지도 않던 일들이 귀챦고 힘들게 느껴졌다,,
,depression_item2,I did not feel like eating; my appetite was poor.,"Açlık hissetmedim, iştahım yerinde değildi.",입맛이 없고 아무것도 먹고싶지 않았다,,
,depression_item3,I felt that I could not shake off the blues even with help from my family or friends,Arkadaşlarım veya ailemin yardımına rağmen kötü ruh halinden kurtulamadım.,가족이나 친구가 도와준다해도 울적한 기분을 떨쳐버릴 수 없을 것 같았다,,
,depression_item4,I felt I was just as good as other people.,Ruh halimin diğer insanlar kadar iyi olduğunu hissettim.,내 자신이 다른사람들만큼은 괜챦다고 느꼈다,,
,depression_item5,I had trouble keeping my mind on what I was doing.,Yaptığım işe odaklanmakta zorlandım,내가 하는 일들에 집중하기가 어려웠다,,
,depression_item6,I felt depressed.,Kendimi depresyonda hissettim,우울했다,,
,depression_item7,I felt that everything I did was an effort.,Herşeye çaba harcamam gerektiğini hissettim,모든 일들이 다 힘들게 느껴졌다,,
,depression_item8,I felt hopeful about the future.,Gelecek için umutlu hissettim.,미래에 대해 희망적으로 느꼈다,,
,depression_item9,I thought my life had been a failure.,Hayatımın bir başarısızlık olduğunu düşündüm,내 인생은 실패작이라는 생각이 들었다,,
,depression_item10,I felt fearful,Korktuğumu hissettim,두려움을 느꼈다,,
,depression_item11,My sleep was restless.,Huzursuz uyudum,잠을 설쳤다,,
,depression_item12,I was happy,Mutluydum,행복했다,,
,depression_item13,I talked less than usual.,Her zamankinden az konuştum,평소보다 말수가 줄었다,,
,depression_item14,I felt lonely,Kendimi yalnız hissettim,외로움을 느꼈다,,
,depression_item15,People were unfriendly.,İnsanlar arkadaş canlısı değildi,사람들이 불친절하게 대하는 것 같았다,,
,depression_item16,I enjoyed life.,Yaşamdan zevk aldım,생활이 즐거웠다,,
,depression_item17,I had crying spells,Ağlama nöbetleri geçirdim.,갑자기 울음이 쏟아졌다,,
,depression_item18,I felt sad,Kendimi üzgün hissettim,슬펐다,,
,depression_item19,I felt that people dislike me,İnsanların benden hoşlanmadığını hissettim,사람들이 나를 싫어하는 것 같았다,,
,depression_item20,Things did not go well,İşler yolunda gitmedi,제대로 되는 일이 없었다,,
18,instructions3,"WE ALL GO THROUGH HARD TIMES IN OUR LIVES and sometimes we find it difficult to resolve these problems, and do not know what to do. You may also have gone through a similar period in your life-time.",HEPİMİZİN HAYATINDA ZOR DÖNEMLER OLUYOR ve bazen sorunlarımıza çözüm bulmakta zorluk çekiyor ve ne yapacağımızı bilemeyebiliyoruz.  Sizin de hayatınızda böyle dönemleriniz olmuş olabilir.  ,살다보면 누구나 어려운 시기가 있고 나에게 닥친 문제들을 어떻게 해결해야 할지 난감하고 뭘 어떻게 해야 할지 모르겠는 그런 때가 있습니다. 당신도 어쩌면 살면서 이런 시기를 경험했을 수 있습니다.,,
18a,suicide_a,"Have you ever thought about or attempted to kill yourself, within your life-time?","Tüm yaşamınızı düşünecek olursanız, hayatınız boyunca hiç hayatınıza son vermeyi düşündünüz mü veya hayatınıza son verme girişiminde bulundunuz mu?",평생 한 번이라도 자살을 하려고 생각해보거나 시도해 본 적이 있습니까?,,
,suicide_a1, Never,"Hayır, hayatıma son vermeyi hiç düşünmedim",전혀 없다,,
,suicide_a2,It was just a brief passing thought,Hayatıma son verme düşüncem oldu ama bu sadece gelip geçici bir düşünceydi ,스쳐지나가듯 생각해 보았다,,
,suicide_a3,"I have briefly thought to kill myself, but I was not serious about it",Kısa bir süre için hayatımı sonlandırmayı düşündüm fakat ciddi değildim,심각하게 생각했던 것은 아니지만 자살을 하려는 생각을 잠시 해 본 적이 있다,,
,suicide_a4,I have had a plan at least once to kill myself but did not try to do it,Hayatımı sonlandırmak için işe yarayacağını düşündüğüm bir planım vardı ama bunu gerçekleştirmeyi denemedim,자살을 하려고 계획을 세워 본 적이 있다. 하지만 실제 시도를 하지는 않았고 정말 죽고 싶었던 것은 아니다,,
,suicide_a5,I have had a plan at least once to kill myself and really wanted to die,Hayatımı sonlandırmak için işe yarayacağını düşündüğüm bir planım vardı ve ciddi olarak ölmeyi düşündüm,"자살을 하려고 계획을 세워 본 적이 있고, 그 때는 정말 죽고 싶은 마음이었다",,
,suicide_a6,"I have attempted to kill myself, but did not want to die",Hayatımı sonlandırmak için girişimde bulundum ama sanırım gerçekten ölmek istemiyordum,자살을 시도해 본 적이 있다. 하지만 정말로 죽고 싶었던 것은 아니다,,
,suicide_a7,"I have attempted to kill myself, and really hoped to die",Hayatımı sonlandırmak için girişimde bulundum ve sanırım gerçekten ölmeyi umdum,"자살을 시도해 본 적이 있고, 그 때는 정말 죽고 싶은 마음이었다",,
18b,suicide_b,Have you ever thought about or attempted to kill yourself within the last year (12 months)?,"Peki, son bir senede/12 ayda, hayatınıza son vermeyi düşündünüz mü veya hayatınıza son verme girişiminde bulundunuz mu?",지난 일 년동안(12개월 이내) 자살을 하려고 생각해 보았거나 시도해 본 적이 있습니까?,,
,suicide_b1, Never,"Hayır, hayatıma son vermeyi hiç düşünmedim",전혀 없다,,"BC: NEW ADDITION, THE ANSWER CHOICES WERE NOT THERE, I COPY AND PASTE IT FROM PRIOR QUESTION ON LIFETIME SUICIDAL IDEATION/ATTEMPT"
,suicide_b2,It was just a brief passing thought,Hayatıma son verme düşüncem oldu ama bu sadece gelip geçici bir düşünceydi ,스쳐지나가듯 생각해 보았다,,
,suicide_b3,"I have briefly thought to kill myself, but I was not serious about it",Kısa bir süre için hayatımı sonlandırmayı düşündüm fakat ciddi değildim,심각하게 생각했던 것은 아니지만 자살을 하려는 생각을 잠시 해 본 적이 있다,,
,suicide_b4,I have had a plan at least once to kill myself but did not try to do it,Hayatımı sonlandırmak için işe yarayacağını düşündüğüm bir planım vardı ama bunu gerçekleştirmeyi denemedim,자살을 하려고 계획을 세워 본 적이 있다. 하지만 실제 시도를 하지는 않았고 정말 죽고 싶었던 것은 아니다,,
,suicide_b5,I have had a plan at least once to kill myself and really wanted to die,Hayatımı sonlandırmak için işe yarayacağını düşündüğüm bir planım vardı ve ciddi olarak ölmeyi düşündüm,"자살을 하려고 계획을 세워 본 적이 있고, 그 때는 정말 죽고 싶은 마음이었다",,
,suicide_b6,"I have attempted to kill myself, but did not want to die",Hayatımı sonlandırmak için girişimde bulundum ama sanırım gerçekten ölmek istemiyordum,자살을 시도해 본 적이 있다. 하지만 정말로 죽고 싶었던 것은 아니다,,
,suicide_b7,"I have attempted to kill myself, and really hoped to die",Hayatımı sonlandırmak için girişimde bulundum ve sanırım gerçekten ölmeyi umdum,"자살을 시도해 본 적이 있고, 그 때는 정말 죽고 싶은 마음이었다",,
,function_a,"During the past 4 weeks, did you have any problems with your work or other regular daily activities as a result of any emotional problems (such as feeling depressed or anxious)?",Son bir ay (4 hafta) içinde duygusal sorunlar nedeniyle (depresyon veya sıkıntı gibi nedenlerle) yaptığınız işler veya günlük aktiviteleriniz sırasında herhangi bir problem yaşadınız mı?,"지난 4주 동안 당신이 가지고 있는 정서적인 문제들(예: 우울, 불안)때문에 일상생활이나 직장에서 문제를 경험한 적이 있습니까?",,
